ths_stock_code_stock,ths_stock_short_name_stock,INDUSTRY_SW_2021
61,农产品,商贸零售
63,中兴通讯,通信
301,东方盛虹,石油石化
420,吉林化纤,基础化工
425,徐工机械,机械设备
581,威孚高科,汽车
661,长春高新,医药生物
683,博源化工,基础化工
728,国元证券,非银金融
737,北方铜业,有色金属
776,广发证券,非银金融
783,长江证券,非银金融
807,云铝股份,有色金属
833,粤桂股份,综合
878,云南铜业,有色金属
887,中鼎股份,汽车
893,亚钾国际,基础化工
938,紫光股份,计算机
970,中科三环,有色金属
975,山金国际,有色金属
977,浪潮信息,计算机
981,山子高科,汽车
1212,中旗新材,建筑材料
1298,好上好,电子
1339,智微智能,计算机
1389,广合科技,电子
2028,思源电气,电力设备
2049,紫光国微,电子
2050,三花智控,家用电器
2053,云南能投,公用事业
2056,横店东磁,电力设备
2138,顺络电子,电子
2145,中核钛白,基础化工
2156,通富微电,电子
2182,宝武镁业,有色金属
2194,武汉凡谷,通信
2202,金风科技,电力设备
2236,大华股份,计算机
2249,大洋电机,电力设备
2251,步步高,商贸零售
2273,水晶光电,电子
2294,信立泰,医药生物
2310,东方园林,建筑装饰
2311,海大集团,农林牧渔
2320,海峡股份,交通运输
2324,普利特,基础化工
2326,永太科技,基础化工
2407,多氟多,基础化工
2426,胜利精密,电子
2475,立讯精密,电子
2539,云图控股,基础化工
2544,普天科技,通信
2555,三七互娱,传媒
2588,史丹利,基础化工
2625,光启技术,国防军工
2643,万润股份,电子
2690,美亚光电,机械设备
2709,天赐材料,电力设备
2736,国信证券,非银金融
2850,科达利,电力设备
2895,川恒股份,基础化工
2945,华林证券,非银金融
2946,新乳业,食品饮料
2947,恒铭达,电子
2967,广电计量,社会服务
2978,安宁股份,有色金属
2993,奥海科技,电子
3006,百亚股份,美容护理
3010,若羽臣,商贸零售
3031,中瓷电子,通信
300037,新宙邦,电力设备
300054,鼎龙股份,电子
300059,东方财富,非银金融
300073,当升科技,电力设备
300083,创世纪,机械设备
300115,长盈精密,电子
300124,汇川技术,机械设备
300127,银河磁体,有色金属
300131,英唐智控,电子
300133,华策影视,传媒
300153,科泰电源,电力设备
300184,力源信息,电子
300207,欣旺达,电力设备
300244,迪安诊断,医药生物
300255,常山药业,医药生物
300260,新莱应材,机械设备
300290,荣科科技,计算机
300296,利亚德,电子
300323,华灿光电,电子
300353,东土科技,通信
300364,中文在线,传媒
300398,飞凯材料,电子
300408,三环集团,电子
300415,伊之密,机械设备
300428,立中集团,汽车
300433,蓝思科技,电子
300454,深信服,计算机
300496,中科创达,计算机
300567,精测电子,机械设备
300618,寒锐钴业,有色金属
300655,晶瑞电材,电子
300680,隆盛科技,汽车
300693,盛弘股份,电力设备
300695,兆丰股份,汽车
300750,宁德时代,电力设备
300765,新诺威,医药生物
300772,运达股份,电力设备
300855,图南股份,有色金属
300866,安克创新,电子
300911,亿田智能,家用电器
